"","V1A11","V1A12","V1A13","V1A14","V2","V3A31","V3A32","V3A33","V3A34","V4A41","V4A410","V4A42","V4A43","V4A44","V4A45","V4A46","V4A48","V4A49","V5","V6A62","V6A63","V6A64","V6A65","V7A72","V7A73","V7A74","V7A75","V8","V9A92","V9A93","V9A94","V10A102","V10A103","V11","V12A122","V12A123","V12A124","V13","V14A142","V14A143","V15A152","V15A153","V16","V17A172","V17A173","V17A174","V18","V19A192","V20A202"
"1",1,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1169,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,0,0,0,67,0,1,1,0,2,0,1,0,1,1,0
"2",0,1,0,0,48,0,1,0,0,0,0,0,1,0,0,0,0,0,5951,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,22,0,1,1,0,1,0,1,0,1,0,0
"3",0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,2096,0,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,49,0,1,1,0,1,1,0,0,2,0,0
"4",1,0,0,0,42,0,1,0,0,0,0,1,0,0,0,0,0,0,7882,0,0,0,0,0,0,1,0,2,0,1,0,0,1,4,1,0,0,45,0,1,0,1,1,0,1,0,2,0,0
"5",1,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,4870,0,0,0,0,0,1,0,0,3,0,1,0,0,0,4,0,0,1,53,0,1,0,1,2,0,1,0,2,0,0
"6",0,0,0,1,36,0,1,0,0,0,0,0,0,0,0,1,0,0,9055,0,0,0,1,0,1,0,0,2,0,1,0,0,0,4,0,0,1,35,0,1,0,1,1,1,0,0,2,1,0
"7",0,0,0,1,24,0,1,0,0,0,0,1,0,0,0,0,0,0,2835,0,1,0,0,0,0,0,1,3,0,1,0,0,0,4,1,0,0,53,0,1,1,0,1,0,1,0,1,0,0
"8",0,1,0,0,36,0,1,0,0,1,0,0,0,0,0,0,0,0,6948,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,35,0,1,0,0,1,0,0,1,1,1,0
"9",0,0,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,3059,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,61,0,1,1,0,1,1,0,0,1,0,0
"10",0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,5234,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,1,0,28,0,1,1,0,2,0,0,1,1,0,0
"11",0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,0,25,0,1,0,0,1,0,1,0,1,0,0
"12",1,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,1,4308,0,0,0,0,1,0,0,0,3,1,0,0,0,0,4,1,0,0,24,0,1,0,0,1,0,1,0,1,0,0
"13",0,1,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1567,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,22,0,1,1,0,1,0,1,0,1,1,0
"14",1,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,1,0,60,0,1,1,0,2,1,0,0,1,0,0
"15",1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1403,0,0,0,0,0,1,0,0,2,1,0,0,0,0,4,0,1,0,28,0,1,0,0,1,0,1,0,1,0,0
"16",1,0,0,0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,1282,1,0,0,0,0,1,0,0,4,1,0,0,0,0,2,0,1,0,32,0,1,1,0,1,1,0,0,1,0,0
"17",0,0,0,1,24,0,0,0,1,0,0,0,1,0,0,0,0,0,2424,0,0,0,1,0,0,0,1,4,0,1,0,0,0,4,1,0,0,53,0,1,1,0,2,0,1,0,1,0,0
"18",1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,8072,0,0,0,1,1,0,0,0,2,0,1,0,0,0,3,0,1,0,25,0,0,1,0,3,0,1,0,1,0,0
"19",0,1,0,0,24,0,1,0,0,1,0,0,0,0,0,0,0,0,12579,0,0,0,0,0,0,0,1,4,1,0,0,0,0,2,0,0,1,44,0,1,0,1,1,0,0,1,1,1,0
"20",0,0,0,1,24,0,1,0,0,0,0,0,1,0,0,0,0,0,3430,0,1,0,0,0,0,0,1,3,0,1,0,0,0,2,0,1,0,31,0,1,1,0,1,0,1,0,2,1,0
"21",0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,1,0,48,0,1,1,0,3,0,1,0,1,1,0
"22",1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2647,0,1,0,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,44,0,1,0,0,1,0,1,0,2,0,0
