"","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachment","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"1","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u"
"2","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"3","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"4","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","u"
"5","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g"
"6","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"7","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m"
"8","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m"
"9","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g"
"10","b","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"11","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"12","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m"
"13","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"14","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"15","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","a","g"
"16","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u"
"17","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g"
"18","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","g"
"19","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","s","u"
"20","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","u"
"21","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m"
"22","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","g"
"23","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m"
"24","b","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"25","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"26","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","g"
"27","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"28","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"29","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","y","u"
"30","x","s","y","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d"
"31","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"32","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","u"
"33","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"34","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","y","p"
"35","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m"
"36","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"37","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u"
"38","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","u"
"39","x","f","y","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"40","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"41","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"42","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p"
"43","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","y","u"
"44","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g"
"45","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"46","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","g"
"47","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"48","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"49","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","p"
"50","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","p"
"51","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g"
"52","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"53","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","m"
"54","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"55","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u"
"56","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","m"
"57","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g"
"58","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g"
"59","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g"
"60","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","y","p"
"61","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"62","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m"
"63","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"64","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"65","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"66","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","a","g"
"67","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g"
"68","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g"
"69","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"70","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u"
"71","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"72","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"73","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"74","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"75","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"76","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"77","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","u","v","d"
"78","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","y","p"
"79","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","v","u"
"80","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","n","y","g"
"81","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","s","g"
"82","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","s","g"
"83","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u"
"84","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","s","g"
"85","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","g"
"86","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","s","g"
"87","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"88","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"89","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g"
"90","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","u"
"91","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","y","u"
"92","b","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"93","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g"
"94","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","m"
"95","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g"
"96","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g"
"97","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g"
"98","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"99","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","g"
"100","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","g"
"101","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g"
"102","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"103","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g"
"104","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p"
"105","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"106","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m"
"107","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","g"
"108","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","m"
"109","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"110","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m"
"111","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"112","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","y","u"
"113","x","f","w","t","a","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d"
"114","x","s","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","m"
"115","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","u"
"116","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","g"
"117","s","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","y","u"
"118","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","k","y","g"
"119","x","s","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"120","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","n","y","u"
"121","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","g"
"122","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"123","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g"
"124","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g"
"125","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"126","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","s","g"
"127","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g"
"128","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","a","g"
"129","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"130","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","m"
"131","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"132","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m"
"133","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d"
"134","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"135","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"136","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","v","u"
"137","f","f","w","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","n","v","d"
"138","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"139","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g"
"140","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g"
