"","x"
"1",19
"2",18
"3",18
"4",19
"5",13
"6",18
"7",18
"8",18
"9",19
"10",18
"11",18
"12",18
"13",18
"14",19
"15",13
"16",0
"17",13
"18",19
"19",19
"20",19
"21",18
"22",19
"23",18
"24",18
"25",18
"26",19
"27",18
"28",18
"29",0
"30",16
"31",18
"32",19
"33",18
"34",17
"35",18
"36",16
"37",0
"38",19
"39",16
"40",18
"41",18
"42",17
"43",0
"44",19
"45",18
"46",18
"47",18
"48",18
"49",17
"50",17
"51",17
"52",18
"53",18
"54",19
"55",19
"56",18
"57",13
"58",18
"59",18
"60",17
"61",0
"62",18
"63",18
"64",18
"65",18
"66",13
"67",18
"68",17
"69",18
"70",0
"71",16
"72",18
"73",16
"74",17
"75",18
"76",16
"77",16
"78",17
"79",19
"80",17
"81",13
"82",19
"83",0
"84",13
"85",17
"86",13
"87",18
"88",18
"89",17
"90",0
"91",0
"92",18
"93",18
"94",18
"95",13
"96",18
"97",17
"98",18
"99",18
"100",18
"101",13
"102",18
"103",17
"104",17
"105",18
"106",18
"107",17
"108",18
"109",18
"110",18
"111",18
"112",0
"113",16
"114",18
"115",19
"116",17
"117",0
"118",17
"119",16
"120",0
"121",19
"122",18
"123",19
"124",13
"125",18
"126",13
"127",18
"128",13
"129",18
"130",18
"131",18
"132",18
"133",16
"134",18
"135",16
"136",19
"137",16
"138",18
"139",19
"140",18
"141",17
"142",18
"143",0
"144",17
"145",18
"146",13
"147",13
"148",18
"149",18
"150",18
"151",18
"152",13
"153",18
"154",0
"155",16
"156",17
"157",18
"158",18
"159",18
"160",18
"161",18
"162",18
"163",0
"164",17
"165",18
"166",17
"167",18
"168",18
"169",17
"170",18
"171",0
"172",18
"173",16
"174",18
"175",17
"176",18
"177",18
"178",18
"179",18
"180",18
"181",19
"182",0
"183",0
"184",18
"185",17
"186",19
"187",18
"188",0
"189",18
"190",17
"191",13
"192",16
"193",18
"194",16
"195",18
"196",0
"197",18
"198",18
"199",18
"200",16
"201",18
"202",18
"203",18
"204",13
"205",17
"206",19
"207",18
"208",18
"209",18
"210",18
"211",18
"212",18
"213",16
"214",0
"215",17
"216",18
"217",18
"218",18
"219",18
"220",0
"221",18
"222",19
"223",17
"224",16
"225",18
"226",18
"227",18
"228",18
"229",19
"230",18
"231",0
"232",19
"233",17
"234",0
"235",18
"236",16
"237",18
"238",18
"239",17
"240",17
"241",17
"242",18
"243",18
"244",19
"245",16
"246",18
"247",16
"248",18
"249",17
"250",13
"251",17
"252",19
"253",0
"254",18
"255",18
"256",18
"257",0
"258",18
"259",18
"260",18
"261",17
"262",19
"263",18
"264",18
"265",16
"266",0
"267",13
"268",18
"269",18
"270",19
"271",18
"272",19
"273",18
"274",18
"275",17
"276",17
"277",17
"278",18
"279",13
"280",18
"281",19
"282",18
"283",0
"284",18
"285",18
"286",17
"287",18
"288",18
"289",17
"290",0
"291",0
"292",18
"293",18
"294",18
"295",18
"296",18
"297",18
"298",13
"299",16
"300",19
"301",13
"302",18
"303",16
"304",18
"305",18
"306",15
"307",18
"308",18
"309",17
"310",13
"311",18
"312",19
"313",18
"314",16
"315",18
"316",19
"317",16
"318",18
"319",16
"320",16
"321",18
"322",16
"323",18
"324",18
"325",17
"326",18
"327",18
"328",19
"329",18
"330",18
"331",19
"332",18
"333",18
"334",18
"335",18
"336",15
"337",17
"338",18
"339",0
"340",17
"341",18
"342",18
"343",18
"344",16
"345",18
"346",13
"347",16
"348",18
"349",13
"350",0
"351",13
"352",17
"353",18
"354",18
"355",17
"356",0
"357",17
"358",19
"359",17
"360",18
"361",13
"362",13
"363",13
"364",17
"365",18
"366",0
"367",17
"368",16
"369",18
"370",13
"371",17
"372",17
"373",18
"374",0
"375",18
"376",18
"377",0
"378",18
"379",18
"380",18
"381",19
"382",13
"383",18
"384",18
"385",15
"386",19
"387",17
"388",13
"389",18
"390",18
"391",18
"392",18
"393",18
"394",0
"395",17
"396",13
"397",18
"398",18
"399",0
"400",19
"401",18
"402",18
"403",19
"404",18
"405",18
"406",18
"407",18
"408",18
"409",18
"410",17
"411",18
"412",13
"413",17
"414",17
"415",19
"416",18
"417",16
"418",19
"419",18
"420",13
"421",18
"422",18
"423",19
"424",17
"425",18
"426",16
"427",17
"428",18
"429",13
"430",0
"431",18
"432",17
"433",18
"434",18
"435",16
"436",18
"437",16
"438",18
"439",18
"440",17
"441",18
"442",18
"443",17
"444",18
"445",18
"446",17
"447",18
"448",17
"449",18
"450",15
"451",18
"452",18
"453",18
"454",16
"455",18
"456",13
"457",18
"458",18
"459",17
"460",17
"461",18
"462",17
"463",18
"464",18
"465",0
"466",17
"467",18
"468",18
"469",18
"470",17
"471",18
"472",18
"473",16
"474",0
"475",16
"476",0
"477",0
"478",18
"479",16
"480",18
"481",18
"482",18
"483",16
"484",0
"485",16
"486",17
"487",18
"488",0
"489",17
"490",17
"491",16
"492",19
"493",19
"494",17
"495",17
"496",18
"497",13
"498",17
"499",18
"500",18
"501",18
"502",18
"503",18
"504",18
"505",18
"506",19
"507",13
"508",13
"509",16
"510",0
"511",0
"512",18
"513",16
"514",0
"515",0
"516",13
"517",17
"518",18
"519",18
"520",18
"521",18
"522",18
"523",17
"524",19
"525",0
"526",18
"527",17
"528",18
"529",0
"530",17
"531",17
"532",18
"533",19
"534",17
"535",19
"536",13
"537",18
"538",0
"539",18
"540",16
"541",18
"542",13
"543",19
"544",17
"545",13
"546",18
"547",18
"548",0
"549",16
"550",18
"551",0
"552",13
"553",17
"554",16
"555",18
"556",17
"557",19
"558",16
"559",18
"560",18
"561",18
"562",16
"563",16
"564",13
"565",18
"566",19
"567",18
"568",13
"569",19
"570",18
"571",18
"572",16
"573",18
"574",18
"575",17
"576",18
"577",0
"578",18
"579",17
"580",19
"581",18
"582",18
"583",18
"584",17
"585",17
"586",18
"587",0
"588",0
"589",0
"590",18
"591",19
"592",13
"593",18
"594",19
"595",18
"596",19
"597",18
"598",18
"599",19
"600",19
"601",13
"602",17
"603",13
"604",17
"605",18
"606",18
"607",13
"608",17
"609",18
"610",0
"611",13
"612",13
"613",13
"614",19
"615",17
"616",18
"617",13
"618",18
"619",18
"620",0
"621",17
"622",18
"623",16
"624",17
"625",0
"626",18
"627",16
"628",0
"629",18
"630",18
"631",13
"632",18
"633",15
"634",17
"635",17
"636",18
"637",17
"638",18
"639",13
"640",18
"641",18
"642",17
"643",17
"644",17
"645",17
"646",16
"647",18
"648",18
"649",18
"650",16
"651",18
"652",18
"653",17
"654",19
"655",19
"656",18
"657",13
"658",18
"659",17
"660",0
"661",18
"662",18
"663",19
"664",19
"665",18
"666",18
"667",17
"668",17
"669",17
"670",18
"671",18
"672",0
"673",13
"674",16
"675",17
"676",0
"677",0
"678",17
"679",17
"680",18
"681",16
"682",18
"683",16
"684",18
"685",15
"686",18
"687",0
"688",18
"689",18
"690",18
"691",18
"692",18
"693",17
"694",13
"695",19
"696",18
"697",18
"698",19
"699",19
"700",13
"701",19
"702",13
"703",17
"704",18
"705",17
"706",17
"707",18
"708",0
"709",18
"710",18
"711",17
"712",13
"713",18
"714",18
"715",18
"716",18
"717",18
"718",17
"719",17
"720",0
"721",17
"722",18
"723",16
"724",13
"725",17
"726",19
"727",18
"728",13
"729",18
"730",18
"731",17
"732",13
"733",19
"734",19
"735",18
"736",18
"737",16
"738",19
"739",18
"740",0
"741",0
"742",18
"743",17
"744",18
"745",17
"746",18
"747",18
"748",18
"749",19
"750",16
"751",17
"752",18
"753",16
"754",18
"755",18
"756",18
"757",17
"758",13
"759",18
"760",17
"761",18
"762",17
"763",18
"764",0
"765",17
"766",13
"767",16
"768",0
"769",18
"770",18
"771",18
"772",18
"773",18
"774",16
"775",13
"776",17
"777",19
"778",17
"779",18
"780",18
"781",18
"782",0
"783",18
"784",18
"785",18
"786",19
"787",0
"788",18
"789",19
"790",17
"791",18
"792",17
"793",18
"794",18
"795",19
"796",19
"797",18
"798",13
"799",19
"800",17
"801",18
"802",18
"803",19
"804",18
"805",18
"806",17
"807",18
"808",17
"809",18
"810",16
"811",18
"812",18
"813",19
"814",19
"815",19
"816",18
"817",17
"818",17
"819",16
"820",18
"821",18
"822",0
"823",18
"824",18
"825",17
"826",18
"827",16
"828",16
"829",18
"830",16
"831",0
"832",16
"833",17
"834",17
"835",17
"836",19
"837",18
"838",19
"839",18
"840",18
"841",16
"842",19
"843",18
"844",0
"845",18
"846",13
